Date,Tiker,Price
2019-05-31,TIK1,27.410000
2019-06-03,TIK1,27.580000
2019-06-04,TIK1,29.570000
2019-06-05,TIK1,29.500000
2019-06-06,TIK1,31.820000
2019-06-07,TIK1,32.410000
2019-06-10,TIK1,33.230000
2019-06-11,TIK1,32.410000
2019-06-12,TIK1,32.180000
2019-06-13,TIK1,31.389999
2019-06-14,TIK1,30.360001
2019-06-17,TIK1,29.200001
2019-06-18,TIK1,30.450001
2019-06-19,TIK1,30.500000
2019-06-20,TIK1,30.010000
2019-06-21,TIK1,29.100000
2019-06-24,TIK1,29.260000
2019-06-25,TIK1,28.860001
2019-06-26,TIK1,29.920000
2019-06-27,TIK1,30.740000
2019-06-28,TIK1,30.370001
2019-07-01,TIK1,31.200001
2019-07-02,TIK1,31.240000
2019-07-03,TIK1,31.190001
2019-07-05,TIK1,31.500000
2019-07-08,TIK1,32.040001
2019-07-09,TIK1,33.150002
2019-07-10,TIK1,33.790001
2019-07-11,TIK1,33.060001
2019-07-12,TIK1,33.209999
2019-07-15,TIK1,34.389999
2019-07-16,TIK1,33.849998
2019-07-17,TIK1,33.599998
2019-07-18,TIK1,33.000000
2019-07-19,TIK1,32.509998
2019-07-22,TIK1,32.849998
2019-07-23,TIK1,33.490002
2019-07-24,TIK1,34.110001
2019-07-25,TIK1,33.669998
2019-07-26,TIK1,34.020000
2019-07-29,TIK1,33.480000
2019-07-30,TIK1,33.869999
2019-07-31,TIK1,30.450001
2019-08-01,TIK1,29.860001
2019-08-02,TIK1,29.440001
2019-08-05,TIK1,27.990000
2019-08-06,TIK1,28.860001
2019-08-07,TIK1,29.190001
2019-08-08,TIK1,33.919998
2019-08-09,TIK1,34.189999
2019-08-12,TIK1,32.430000
2019-08-13,TIK1,32.110001
2019-08-14,TIK1,30.240000
2019-08-15,TIK1,29.670000
2019-08-16,TIK1,31.180000
2019-08-19,TIK1,31.480000
2019-08-20,TIK1,30.719999
2019-08-21,TIK1,31.700001
2019-08-22,TIK1,31.900000
2019-08-23,TIK1,29.540001
2019-08-26,TIK1,30.280001
2019-08-27,TIK1,30.200001
2019-08-28,TIK1,30.780001
2019-08-29,TIK1,31.450001
2019-08-30,TIK1,31.450001
2019-09-03,TIK1,30.900000
2019-09-04,TIK1,30.950001
2019-09-05,TIK1,31.500000
2019-09-06,TIK1,30.559999
2019-09-09,TIK1,30.500000
2019-09-10,TIK1,30.230000
2019-09-11,TIK1,29.760000
2019-09-12,TIK1,30.209999
2019-09-13,TIK1,30.690001
2019-09-16,TIK1,30.830000
2019-09-17,TIK1,30.990000
2019-09-18,TIK1,30.420000
2019-09-19,TIK1,30.290001
2019-09-20,TIK1,30.049999
2019-09-23,TIK1,30.639999
2019-09-24,TIK1,29.520000
2019-09-25,TIK1,29.540001
2019-09-26,TIK1,29.469999
2019-09-27,TIK1,28.719999
2019-09-30,TIK1,28.990000
2019-10-01,TIK1,28.760000
2019-10-02,TIK1,28.309999
2019-10-03,TIK1,28.680000
2019-10-04,TIK1,29.010000
2019-10-07,TIK1,28.930000
2019-10-08,TIK1,28.230000
2019-10-09,TIK1,28.459999
2019-10-10,TIK1,28.379999
